title,link,views,watched
"CppCon 2018: Stoyan Nikolov “OOP Is Dead, Long Live Data-oriented Design”",https://www.youtube.com/watch?v=yy8jQgmhbAU,204951,x
CppCon 2018: Jonathan Boccara “105 STL Algorithms in Less Than an Hour”,https://www.youtube.com/watch?v=2olsGf6JIkU,196523,x
CppCon 2018: Matt Godbolt “The Bits Between the Bits: How We Get to main()”,https://www.youtube.com/watch?v=dOfucXtyEsU,161813,x
CppCon 2018: Bjarne Stroustrup “Concepts: The Future of Generic Programming (the future is here)”,https://www.youtube.com/watch?v=HddFGPTAmtU,160952,x
CppCon 2018: Jason Turner “Applied Best Practices”,https://www.youtube.com/watch?v=DHOlsEd0eDE,80264,x
CppCon 2018: Herb Sutter “Thoughts on a more powerful and simpler C++ (5 of N)”,https://www.youtube.com/watch?v=80BZxujhY38,78230,x
CppCon 2018: Nicolai Josuttis “The Nightmare of Initialization in C++”,https://www.youtube.com/watch?v=7DTlWPgX6zs,62994,x
CppCon 2018: Kate Gregory “Simplicity: Not Just For Beginners”,https://www.youtube.com/watch?v=n0Ak6xtVXno,58259,x
CppCon 2018: Timur Doumler “Can I has grammar?”,https://www.youtube.com/watch?v=tsG95Y-C14k,57950,x
CppCon 2018: Andrei Alexandrescu “Expect the expected”,https://www.youtube.com/watch?v=PH4WBuE1BHI,56519,x
"CppCon 2018: Chandler Carruth “Spectre: Secrets, Side-Channels, Sandboxes, and Security”",https://www.youtube.com/watch?v=_f7O3IfIR2k,53028,
CppCon 2018: Vinnie Falco “Get rich quick! Using Boost.Beast WebSockets and Networking TS”,https://www.youtube.com/watch?v=7FQwAjELMek,48795,
CppCon 2018: Titus Winters “Modern C++ Design (part 1 of 2)”,https://www.youtube.com/watch?v=xTdeZ4MxbKo,44729,x
CppCon 2018: Jason Turner “Surprises in Object Lifetime”,https://www.youtube.com/watch?v=uQyT-5iWUow,37891,
"CppCon 2018: G. Nishanov “Nano-coroutines to the Rescue! (Using Coroutines TS, of Course)”",https://www.youtube.com/watch?v=j9tlJAqMV7U,36671,x
CppCon 2018: Greg Law “Debugging Linux C++”,https://www.youtube.com/watch?v=V1t6faOKjuQ,35548,
CppCon 2018: Jefferson Amstutz “Compute More in Less Time Using C++ Simd Wrapper Libraries”,https://www.youtube.com/watch?v=8khWb-Bhhvs,33620,
CppCon 2018: Fedor Pikus “Design for Performance”,https://www.youtube.com/watch?v=m25p3EtBua4,32776,
CppCon 2018: Alan Talbot “Moving Faster: Everyday efficiency in modern C++”,https://www.youtube.com/watch?v=EovBkh9wDnM,32062,
"CppCon 2018: Mateusz Pusz “Git, CMake, Conan - How to ship and reuse our C++ projects”",https://www.youtube.com/watch?v=S4QSKLXdTtA,31036,x
CppCon 2018: Phil Nash “Modern C++ Testing with Catch2”,https://www.youtube.com/watch?v=Ob5_XZrFQH0,29873,
CppCon 2018: Mark Elendt “Patterns and Techniques Used in the Houdini 3D Graphics Application ”,https://www.youtube.com/watch?v=2YXwg0n9e7E,27237,
CppCon 2018: Geoffrey Romer “What do you mean thread-safe?”,https://www.youtube.com/watch?v=s5PCh_FaMfM,26951,
CppCon 2018: Louis Dionne “Compile-time programming and reflection in C++20 and beyond”,https://www.youtube.com/watch?v=CRDNPwXDVp0,25572,
CppCon 2018: Simon Brand “How C++ Debuggers Work”,https://www.youtube.com/watch?v=0DDrseUomfU,25550,
CppCon 2018: Phil Nash “You're Not as Smart as You Think You Are”,https://www.youtube.com/watch?v=fbkfH0IZW8g,20894,
CppCon 2018: Peter Goldsborough “Machine Learning in C++ with PyTorch”,https://www.youtube.com/watch?v=auRPXMMHJzc,20747,
CppCon 2018: Walter E. Brown “C++ Function Templates: How Do They Really Work?”,https://www.youtube.com/watch?v=NIDEjY5ywqU,20721,
CppCon 2018: Kris Jusiak “State Machines Battlefield - Naive vs STL vs Boost”,https://www.youtube.com/watch?v=yZVby-PuXM0,20640,
CppCon 2018: Andrew Sutton “Concepts in 60: Everything you need to know and nothing you don't”,https://www.youtube.com/watch?v=ZeU6OPaGxwM,20234,
CppCon 2018: Michael Caisse “Modern C++ in Embedded Systems - The Saga Continues”,https://www.youtube.com/watch?v=LfRLQ7IChtg,20153,
CppCon 2018: Steven Simpson “Source Instrumentation for Monitoring C++ in Production”,https://www.youtube.com/watch?v=0WgC5jnrRx8,19057,
CppCon 2018: Arthur O'Dwyer “Return Value Optimization: Harder Than It Looks”,https://www.youtube.com/watch?v=hA1WNtNyNbo,18141,
CppCon 2018: Arthur O'Dwyer “Return Value Optimization: Harder Than It Looks”,https://www.youtube.com/watch?v=hA1WNtNyNbo,18141,
CppCon 2018: Arthur O'Dwyer “Return Value Optimization: Harder Than It Looks”,https://www.youtube.com/watch?v=hA1WNtNyNbo,18141,
CppCon 2018: Nir Friedman “Understanding Optimizers: Helping the Compiler Help You”,https://www.youtube.com/watch?v=8nyq8SNUTSc,18017,
CppCon 2018: “Secure Coding Best Practices: Your First Line Is The Last Line Of Defense (1 of 2)”,https://www.youtube.com/watch?v=n4Yf2tBeAbE,17958,
CppCon 2018: Kate Gregory “What Do We Mean When We Say Nothing At All?”,https://www.youtube.com/watch?v=kYVxGyido9g,17491,
CppCon 2018: Compiling Multi-Million Line C++ Code Bases Effortlessly with the Meson Build System,https://www.youtube.com/watch?v=SCZLnopmYBM,17135,
CppCon 2018: JF Bastien “Signed integers are two's complement”,https://www.youtube.com/watch?v=JhUxIVf1qok,16672,
"CppCon 2018: R. Leahy “The Networking TS in Practice: Testable, Composable Asynchronous I/O in C++”",https://www.youtube.com/watch?v=hdRpCo94_C4,16617,
CppCon 2018: Mateusz Pusz “Effective replacement of dynamic polymorphism with std::variant”,https://www.youtube.com/watch?v=gKbORJtnVu8,15640,
CppCon 2018: Jon Kalb “Copy Elision”,https://www.youtube.com/watch?v=IZbL-RGr_mk,15615,
"CppCon 2018: Ben Deane “Easy to Use, Hard to Misuse: Declarative Style in C++”",https://www.youtube.com/watch?v=I52uPJSoAT4,15522,
CppCon 2018: Yu Qi “Feather: A Modern C++ Web Development Framework”,https://www.youtube.com/watch?v=DoXXCZJVNeo,14976,
CppCon 2018: Sean Parent “Better Code: Human Interface”,https://www.youtube.com/watch?v=0WlJEz2wb8Y,14920,
CppCon 2018:H. Wright “Large-Scale Changes at Google: Lessons Learned From 5 Yrs of Mass Migrations”,https://www.youtube.com/watch?v=TrC6ROeV4GI,14684,
CppCon 2018: “Grill the Committee”,https://www.youtube.com/watch?v=cH0nJPbMFAY,14604,
CppCon 2018: Jon Kalb “This is Why We Can’t Have Nice Things”,https://www.youtube.com/watch?v=fv--IKZFVO8,14554,
"CppCon 2018: Robert Schumacher “Don't package your libraries, write packagable libraries!”",https://www.youtube.com/watch?v=sBP17HQAQjk,14428,
CppCon 2018: Titus Winters “Modern C++ Design (part 2 of 2)”,https://www.youtube.com/watch?v=tn7oVNrPM8I,14274,x
CppCon 2018: Nathan Sidwell “C++ Modules”,https://www.youtube.com/watch?v=xi2lTaC5p0I,14074,
CppCon 2018: James McNellis “Unwinding the Stack: Exploring How C++ Exceptions Work on Windows”,https://www.youtube.com/watch?v=COEv2kq_Ht8,13436,
CppCon 2018: Peter Bindels “Build Systems: a Simple Solution to a Complicated Problem”,https://www.youtube.com/watch?v=mWOmkwv8N_U,13351,
