"title","link","views","watch"
"C++20: An (Almost) Complete Overview - Marc Gregoire - CppCon 2020","https://www.youtube.com/watch?v=FRkJCvHWdwQ",134934,x
"How C++20 Changes the Way We Write Code - Timur Doumler - CppCon 2020","https://www.youtube.com/watch?v=ImLFlLjSveM",114797,x
"Back to Basics: Concurrency - Arthur O'Dwyer - CppCon 2020","https://www.youtube.com/watch?v=F6Ipn7gCOsY",105571,x
"Breaking Dependencies: The SOLID Principles - Klaus Iglberger - CppCon 2020","https://www.youtube.com/watch?v=Ntraj80qN2k",86557,x
"Plenary: The Beauty and Power of 'Primitive' C++ - Bjarne Stroustrup - CppCon 2020","https://www.youtube.com/watch?v=ERzENfQ51Ck",77639,x
"Template Metaprogramming: Type Traits (part 1 of 2) - Jody Hagins - CppCon 2020","https://www.youtube.com/watch?v=tiAVWcjIF6o",67305,x
"Template Metaprogramming: Type Traits (part 2 of 2) - Jody Hagins - CppCon 2020","https://www.youtube.com/watch?v=dLZcocFOb5Q",22453,x
"Back to Basics: The Abstract Machine - Bob Steagall - CppCon 2020","https://www.youtube.com/watch?v=ZAji7PkXaKY",61565,x
"Back to Basics: The Structure of a Program - Bob Steagall - CppCon 2020","https://www.youtube.com/watch?v=3KoXeegncrs",54631,x
"Empirically Measuring, & Reducing, C++’s Accidental Complexity - Herb Sutter - CppCon 2020","https://www.youtube.com/watch?v=6lurOCdaj0Y",54572,x
"OO Considered Harmful - Phil Nash - CppCon 2020","https://www.youtube.com/watch?v=pH-q2m5sb04",45866,x
"Back to Basics: Pointers and Memory - Ben Saks - CppCon 2020","https://www.youtube.com/watch?v=rqVWj0aVSxg",42955,
"Back to Basics: Design Patterns - Mike Shah - CppCon 2020","https://www.youtube.com/watch?v=2UUqX2eIdSM",42079,
"Retiring the Singleton Pattern: Concrete Suggestions for What to use Instead - Peter Muldoon","https://www.youtube.com/watch?v=K5c7uvWe_hw",41942,
"Back to Basics: Class Layout - Stephen Dewhurst - CppCon 2020","https://www.youtube.com/watch?v=SShSV_iV1Ko",39863,
"Test Driven C++ - Phil Nash - CppCon 2020","https://www.youtube.com/watch?v=N2gTxeIHMP0",37081,
"What is an ABI, and Why is Breaking it Bad? - Marshall Clow - CppCon 2020","https://www.youtube.com/watch?v=7RoTDjLLXJQ",36627,x
"Back to Basics: Unit Tests - Ben Saks - CppCon 2020","https://www.youtube.com/watch?v=_OHE33s7EKw",35689,
"C++20 Ranges in Practice - Tristan Brindle - CppCon 2020","https://www.youtube.com/watch?v=d_E-VLyUnzc",33909,x
"Plenary: Performance Matters - Emery Berger - CppCon 2020","https://www.youtube.com/watch?v=koTf7u0v41o",31936,x
"Modern Software Needs Embedded Modern C++ Programming - Michael Wong - CppCon 2020","https://www.youtube.com/watch?v=885TI3jnB7g",31223,x
"Back to Basics: Templates (part 1 of 2) - Andreas Fertig - CppCon 2020","https://www.youtube.com/watch?v=VNJ4wiuxJM4",31081,
"Back to Basics: Smart Pointers - Rainer Grimm - CppCon 2020","https://www.youtube.com/watch?v=sQCSX7vmmKY",30394,
"Back to Basics: Exceptions - Klaus Iglberger - CppCon 2020","https://www.youtube.com/watch?v=0ojB8c0xUd8",28176,x
"Back to Basics: Move Semantics - David Olsen - CppCon 2020","https://www.youtube.com/watch?v=ZG59Bqo7qX4",27881,
"The Hidden Secrets of Move Semantics - Nicolai Josuttis - CppCon 2020","https://www.youtube.com/watch?v=TFMKjL38xAI",27140,
"Monoids, Monads, and Applicative Functors: Repeated Software Patterns - David Sankel - CppCon 2020","https://www.youtube.com/watch?v=giWCdQ7fnQU",26691,x
"Practical Memory Pool Based Allocators For Modern C++ - Misha Shalem - CppCon 2020","https://www.youtube.com/watch?v=l14Zkx5OXr4",26317,
"Dynamic Polymorphism with Metaclasses and Code Injection - Sy Brand - CppCon 2020","https://www.youtube.com/watch?v=8c6BAQcYF_E",24691,
"The Science of Unit Tests - Dave Steffen - CppCon 2020","https://www.youtube.com/watch?v=FjwayiHNI1w",24364,
"Adventures in SIMD-Thinking (part 1 of 2) - Bob Steagall - CppCon 2020","https://www.youtube.com/watch?v=qejTqnxQRcw",24134,
"Back to Basics: Algebraic Data Types - Arthur O'Dwyer - CppCon 2020","https://www.youtube.com/watch?v=OJzmWqCCZaM",23936,
"Halide: A Language for Fast, Portable Computation on Images and Tensors - Alex Reinking - CppCon 20","https://www.youtube.com/watch?v=1ir_nEfKQ7A",21113,x
"Structure and Interpretation of Computer Programs: SICP - Conor Hoekstra - CppCon 2020","https://www.youtube.com/watch?v=7oV7hiAsVTI",20241,
"Closing the Gap between Rust and C++ Using Principles of Static Analysis - Sunny Chatterjee - CppCon","https://www.youtube.com/watch?v=_pQGRr4P16w",17781,
"Making Games Start Fast: A Story About Concurrency - Mathieu Ropert - CppCon 2020","https://www.youtube.com/watch?v=TcuPIVKNSN0",17486,
"Back To Basics: Lambda Expressions - Barbara Geller & Ansel Sermersheim - CppCon 2020","https://www.youtube.com/watch?v=ZIPNFcw6V9o",15894,
"C++20 STL Features: One Year of Development on GitHub - Stephan T. Lavavej - CppCon 2020","https://www.youtube.com/watch?v=8kjRx8vo6y4",14829,x
